date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:12	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2010:22:12%20GMT	https://redescreation.in/robots.txt		(from )
15:52:13	138032/138032	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2010:22:12%20GMT	https://redescreation.in/	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/index.html	(from )
15:52:13	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2010:22:13%20GMT	https://redescreation.in/images/cover.jpg	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/images/cover.jpg	(from https://redescreation.in/)
15:52:14	102526/102526	---M-Z	200	added ('OK')	text/css	etag:%22656632a7-54f3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	C:/Users/hp/Desktop/REDES/REDES/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from https://redescreation.in/)
15:52:14	130419/130419	---M-Z	200	added ('OK')	text/css	etag:%2267611491-48b0%22	https://cdnjs.cloudflare.com/ajax/libs/remixicon/4.6.0/remixicon.min.css	C:/Users/hp/Desktop/REDES/REDES/cdnjs.cloudflare.com/ajax/libs/remixicon/4.6.0/remixicon.min.css	(from https://redescreation.in/)
15:52:14	7489/7489	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Oct%202025%2015:19:39%20GMT	https://redescreation.in/assets/favicon-rc-new.png	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/favicon-rc-new.png	(from https://redescreation.in/)
15:52:15	24117/24117	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Oct%202025%2015:22:04%20GMT	https://redescreation.in/images/redescreation-logo.png	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/images/redescreation-logo.png	(from https://redescreation.in/)
15:52:15	39342/39342	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2010:22:15%20GMT	https://redescreation.in/about.php	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/about.html	(from https://redescreation.in/)
15:52:16	28923/28923	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2010:22:15%20GMT	https://redescreation.in/portfolio.php	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/portfolio.html	(from https://redescreation.in/)
15:52:17	37991/37991	---M-Z	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2010:22:16%20GMT	https://redescreation.in/services.php	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/services.html	(from https://redescreation.in/)
15:52:17	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Oct%202025%2010:22:17%20GMT	https://redescreation.in/blogs	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/blogs	(from https://redescreation.in/)
15:52:17	430113/430113	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Oct%202025%2015:28:34%20GMT	https://redescreation.in/assets/img/hero-bg.png	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/img/hero-bg.png	(from https://redescreation.in/)
15:52:17	32563/32563	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2010:22:17%20GMT	https://redescreation.in/contact.php	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/contact.html	(from https://redescreation.in/)
15:52:18	28895/28895	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2010:22:17%20GMT	https://redescreation.in/quote.php	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/quote.html	(from https://redescreation.in/)
15:52:18	13394/13394	---M--	200	added ('OK')	image/webp	date:Tue,%2007%20Oct%202025%2016:48:34%20GMT	https://redescreation.in/assets/about4-image1.webp	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/about4-image1.webp	(from https://redescreation.in/)
15:52:18	15482/15482	---M--	200	added ('OK')	image/webp	date:Tue,%2007%20Oct%202025%2016:48:31%20GMT	https://redescreation.in/assets/about4-image3.webp	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/about4-image3.webp	(from https://redescreation.in/)
15:52:19	103207/103207	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202025%2016:48:29%20GMT	https://redescreation.in/assets/hero20-img1.png	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/hero20-img1.png	(from https://redescreation.in/)
15:52:19	72616/72616	---M--	200	added ('OK')	image/webp	date:Tue,%2007%20Oct%202025%2017:08:58%20GMT	https://redescreation.in/assets/choose4-image-768x728.webp	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/choose4-image-768x728.webp	(from https://redescreation.in/)
15:52:19	6874/6874	---M--	200	added ('OK')	image/webp	date:Tue,%2007%20Oct%202025%2017:09:00%20GMT	https://redescreation.in/assets/hero4-sec-shape2.webp	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/hero4-sec-shape2.webp	(from https://redescreation.in/)
15:52:20	112202/112202	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2010:22:19%20GMT	https://redescreation.in/blogs/	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/blogs/index.html	(from https://redescreation.in/)
15:52:20	86198/86198	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Oct%202025%2007:19:06%20GMT	https://redescreation.in/assets/home-default-img-1.png	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/home-default-img-1.png	(from https://redescreation.in/)
15:52:20	98549/98549	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Oct%202025%2007:19:09%20GMT	https://redescreation.in/assets/home-default-img-2.png	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/home-default-img-2.png	(from https://redescreation.in/)
15:52:21	18454/18454	---M-Z	200	added ('OK')	text/css	etag:W/%224816-00NTceTFOXSCfuleSHYg+tVGAkA%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/Users/hp/Desktop/REDES/REDES/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://redescreation.in/)
15:52:21	154597/154597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2225be5-n7vuhWVYfwo6iXqEBF16IW76OmQ%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	C:/Users/hp/Desktop/REDES/REDES/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	(from https://redescreation.in/)
15:52:22	133085/133085	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Oct%202025%2009:27:01%20GMT	https://redescreation.in/assets/hms.jpg	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/assets/hms.jpg	(from https://redescreation.in/)
15:52:23	47950/47950	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Jun%202025%2010:02:20%20GMT	https://redescreation.in/images/1.jpg	C:/Users/hp/Desktop/REDES/REDES/redescreation.in/images/1.jpg	(from https://redescreation.in/)
